id,name,city,country
1320,Fang Yin Deng,Chengdu,China
1321,Yves André,Dijon,France
1322,Hugo Domínguez,Barcelona,Spain
1323,Nathan Gerard,Brussels,Belgium
1324,Jill Bailey,Miami,United States
1325,Karl Jensen,Trondheim,Norway
1326,Jack Davies,Liverpool,United Kingdom
1327,Irina Sidorova,Chelyabinsk,Russia
1328,Brian Fisher,Miami,United States
1329,Carlos Garza,Mexico City,Mexico
1330,Karima Aziz,Alexandria,Egypt
1331,Carlos Martínez,Fortaleza,Brazil
1332,María Medina,Buenos Aires,Argentina
1333,Matthew Walker,Makassar,Indonesia
1334,Rosana Moreno,Valencia,Spain
1335,Eliana Friedman,Acre,Israel
1336,Noah Gerard,Antwerp,Belgium
1337,Sofia Bianchi,Rome,Italy
1338,Vladimir Vasilyev,Odesa,Ukraine
1339,Chiyoko Tanaka,Yokohama,Japan
1340,Gretta Hansen,Stavanger,Norway
1341,Rosana Torres,Rio de Janeiro,Brazil
1342,Iris Bakker,Delft,Netherlands
1343,Yolanda Gutiérrez,Manaus,Brazil
1344,Svetlana Smirnova,Saint Petersburg,Russia
1345,Safiya Jalaal,Alexandria,Egypt
1346,Matt Burns,Calgary,Canada
1347,Andreas Xenakis,Athens,Greece
1348,Jacob VanDyke,Delft,Netherlands
1349,Carlos Rodriguez,Maracay,Venezuela
1350,Miguel Moreno,Barcelona,Spain
1351,Abdullah Haddad,Alexandria,Egypt
1352,Sergio Díaz,Caracas,Venezuela
1353,Jay Harris,Semarang,Indonesia
1354,Aya Turk,Luxor,Egypt
1355,Khadija Samad,Cairo,Egypt
1356,Kate Gallagher,Limerick,Ireland
1357,Xenia Chávez,Guayana City,Venezuela
1358,Fernando Blanco,Bilbao,Spain
1359,Paula Kelly,Melbourne,Australia
1360,James Turner,Liverpool,United Kingdom
1361,Vasily Lebedev,Chelyabinsk,Russia
1362,Eduardo Martinez,Caracas,Venezuela
1363,Rika Peters,Amsterdam,Netherlands
1364,Muhammed Altun,Izmir,Turkey
1365,Chloé Renard,Leuven,Belgium
1366,Li Ming Huang,Beijing,China
1367,Min Ju Lee,Daegu,South Korea
1368,Mikhael Meir,Acre,Israel
1369,Minjoon Park,Seoul,South Korea
1370,Daisuke Kobayashi,Kyoto,Japan
1371,Therese Larsen,Osio,Norway
1372,Shoshana Katz,Acre,Israel
1373,Iván Torres,Mendoza,Argentina
1374,Raniya Shazad,Tehran,Iran
1375,Rory Hill,Edenburgh,Scotland
1376,Analucía Garza,Bogotá,Colombia
1377,Marina Smirnova,Samara,Russia
1378,James Thomas,Makassar,Indonesia
1379,Matthieu Dubois,Paris,France
1380,Ella Gerard,Namur,Belgium
1381,Binta Buthelezi,Cape Town,South Africa
1382,Jens Renard,Leuven,Belgium
1383,Elin Eriksen,Stockholm,Sweden
1384,Ahmed Nasim,Mashhad,Iran
1385,Shaiming Shen,Chengdu,China
1386,Hitomi Aoki,Osaka,Japan
1387,Archie Ross,Edenburgh,Scotland
1388,Staniłsaw Zając,Wrocław,Poland
1389,Erin O'Connor,Limerick,Ireland
1390,Lisbet Vandermeer,Amsterdam,Netherlands
1391,Juan Hernández,Evora,Portugal
1392,Magdalena Zając,Lublin,Poland
1393,Anna Petras,Corinth,Greece
1394,Heather Price,Miami,United States
1395,Talya Kaya,Bursa,Turkey
1396,Adrienne Manolas,Thessaloniki,Greece
1397,Yazmira Adanir,Izmir,Turkey
1398,Inéz Chávez,Santa Marta,Colombia
1399,Sarah Martin,Melbourne,Australia
1400,Cory Gray,Chicago,United States
1401,María Medina,Cali,Colombia
1402,Viviana Lombardi,Bologna,Italy
1403,Nick Russell,Toronto,Canada
1404,Silvia Castillo,Monterrey,Mexico
1405,Vesna Xenakis,Corinth,Greece
1406,Javier Sánchez,Lisbon,Portugal
1407,Iván López,Mérida,Mexico
1408,Arne Eriksen,Gothenburg,Sweden
1409,Tara Doyle,Limerick,Ireland
1410,Geoff Burton,Miami,United States
1411,Ludmila Ilyushina,Chelyabinsk,Russia
1412,Maximilian Weiss,Cologne,Germany
1413,Fiona Murray,Aberdeen,Scotland
1414,Deka Hangana,Cape Town,South Africa
1415,Jay Wilson,Newcastle,Australia
1416,Oscar Scott,Dundee,Scotland
1417,Sergio Ruiz,Rosario,Argentina
1418,Neema Godongwana,Durban,South Africa
1419,Xue Zhao,Guangzhou,China
1420,Lars Halvorsen,Stavanger,Norway
1421,Rachel Tucker,Vancouver,Canada
1422,Hitomi Nakamura,Osaka,Japan
1423,Esperanza Vázquez,Evora,Portugal
1424,Pedro Fernández,Manaus,Brazil
1425,Amanda Ward,Calgary,Canada
1426,Ben Evans,Liverpool,United Kingdom
1427,Eduardo Pena,Rosario,Argentina
1428,Boris Zaytsev,Saint Petersburg,Russia
1429,Maciej Jaworski,Wrocław,Poland
1430,Encarnación Martinez,Monterrey,Mexico
1431,Susanna Volkova,Chelyabinsk,Russia
1432,Akemi Yamaguchi,Osaka,Japan
1433,Rubén Torres,Isla Ratón,Venezuela
1434,Jakub Jabłoński,Warsaw,Poland
1435,Ahmet Agca,Bursa,Turkey
1436,Yuri Mizrachi,Acre,Israel
1437,Conor McLoughlin,Cork,Ireland
1438,Kostya Zinchenko,Saint Petersburg,Russia
1439,Anatoly Zinchenko,Chelyabinsk,Russia
1440,Hwang Cho,Incheon,South Korea
1441,Kavita Chavan,Chennai,India
1442,Ivar Johnson,Osio,Norway
1443,Lena Krause,Hamburg,Germany
1444,Fayola Kuumba,Durban,South Africa
1445,Kate Morris,Los Angeles,United States
1446,Jose Luis Flores,Buenos Aires,Argentina
1447,Kate Hall,London,United Kingdom
1448,Beatriz Torres,Mendoza,Argentina
1449,Thomas Harris,Semarang,Indonesia
1450,Hendrik Boor,Delft,Netherlands
1451,Molly Martin,London,United Kingdom
1452,Beth Williams,Semarang,Indonesia
1453,Hasina Madasa,Cape Town,South Africa
1454,Sergey Golubev,Kharkiv,Ukraine
1455,Viktor Ignatyev,Chelyabinsk,Russia
1456,Shaun Wallace,Vancouver,Canada
1457,Benjamin Walker,Melbourne,Australia
1458,Johanna Smits,Rotterdam,Netherlands
1459,Gordon Gibson,Glasgow,Scotland
1460,Brigitte Petit,Nice,France
1461,Isabella Bianchi,Bologna,Italy
1462,Kang Dae Kim,Daegu,South Korea
1463,Yutaka Murakami,Tokyo,Japan
1464,So Ji Jeong,Daegu,South Korea
1465,Zhuang Li,Shanghai,China
1466,Li Mei Song,Shanghai,China
1467,Zarina Diallo,Cape Town,South Africa
1468,Dominique André,Dijon,France
1469,Else Karlsen,Bergen,Norway
1470,kelly Wagner,Miami,United States
1471,Cameron Woods,Vancouver,Canada
1472,Naima Haddad,Karachi,Pakistan
1473,Colin Murray,Galway,Ireland
1474,Sergio Sanchez,Bogotá,Colombia
1475,Nicole Turner,Chicago,United States
1476,Adam Ryan,Limerick,Ireland
1477,Hayim David,Petah Tikva,Israel
1478,Jens Johansen,Stavanger,Norway
1479,Adina Peretz,Petah Tikva,Israel
1480,Jiang Li Chen,Shanghai,China
1481,Adrien Vandenberg,Leuven,Belgium
1482,Kenzo Nakagawa,Yokohama,Japan
1483,María Soto,Buenos Aires,Argentina
1484,Zoe Johnson,Canberra,Australia
1485,Pieter Hendriks,Amsterdam,Netherlands
1486,Said Tariq,Alexandria,Egypt
1487,Ji Hoon Song,Seoul,South Korea
1488,Leah Hall,Burmingham,United Kingdom
1489,Rachid Jalaal,Tabriz,Iran
1490,Rosa Vargas,Puebla,Mexico
1491,Inéz Torres,Mexico City,Mexico
1492,Théodore Moreau,Dijon,France
1493,So Ji Park,Seoul,South Korea
1494,Catalina Ruiz,Bilbao,Spain
1495,Iván Medina,Mérida,Mexico
1496,Joan Gray,Aberdeen,Scotland
1497,Long Guo,Shanghai,China
1498,Amy Kelly,Makassar,Indonesia
1499,Eva Vos,Utrecht,Netherlands
1500,Marguerite Simon,Nice,France
1501,Ming Peng,Shanghai,China
1502,Kasumi Nakano,Osaka,Japan
1503,Jesús López,Monterrey,Mexico
1504,Rémy Bernard,Dijon,France
1505,Marcos Martínez,Braga,Portugal
1506,Daria Pawlak,Warsaw,Poland
1507,Carlos Flores,Caracas,Venezuela
1508,Bjorn Johansen,Helsingborg,Sweden
1509,Bernardo Ramos,Bilbao,Spain
1510,Fatima Rahman,Luxor,Egypt
1511,Malachi Moshe,Haifa,Israel
1512,Rachid Haidar,Giza,Egypt
1513,Isabella Conti,Rome,Italy
1514,Ronen Malcah,Haifa,Israel
1515,Jay Ryan,Canberra,Australia
1516,Fedor Romanos,Athens,Greece
1517,Ahmet Aga,Bursa,Turkey
1518,Camille Dupont,Namur,Belgium
1519,Saida Khoury,Giza,Egypt
1520,Graciela Hernández,Monterrey,Mexico
1521,Benjamin Brown,Canberra,Australia
1522,Gertrud Schulz,Hamburg,Germany
1523,Shane White,Chicago,United States
1524,Bernardo Fernández,Barcelona,Spain
1525,Enrique Martinez,Bogotá,Colombia
1526,Fabrizio Marino,Florence,Italy
1527,Khaled Majid,Kermanshah,Iran
1528,Iman Buthelezi,Cape Town,South Africa
1529,Zoé Mercier,Dijon,France
1530,Habika Owusu,Durban,South Africa
1531,Jarne Verhoeven,Antwerp,Belgium
1532,Jane Brown,Los Angeles,United States
1533,Kang Dae Kwan,Incheon,South Korea
1534,Yumi Mori,Yokohama,Japan
1535,Maxim Zinchenko,Samara,Russia
1536,Jens Dupont,Namur,Belgium
1537,Amanda Hunter,Vancouver,Canada
1538,Seema Pillai,Delhi,India
1539,Graciela Rivera,Mérida,Mexico
1540,Bernadette Durand,Dijon,France
1541,Lina Willems,Brussels,Belgium
1542,Paul Jackson,Manchester,United Kingdom
1543,Sergey Sokolov,Kyiv,Ukraine
1544,Mordecai Golan,Acre,Israel
1545,Else Andersen,Stockholm,Sweden
1546,Ariadne Romanos,Patras,Greece
1547,Beatriz Ramírez,Córdoba,Argentina
1548,Beth Lee,Semarang,Indonesia
1549,Jose Luis Márquez,Bogotá,Colombia
1550,Fiona O'Neill,Galway,Ireland
1551,Ian Harris,Canberra,Australia
1552,Saida Suleiman,Tehran,Iran
1553,Chloé Dupont,Antwerp,Belgium
1554,Felipe Suárez,Fortaleza,Brazil
1555,Beth Johnson,Melbourne,Australia
1556,Saida Tariq,Karachi,Pakistan
1557,Huan Yue Fong,Beijing,China
1558,Sigurd Hansen,Helsingborg,Sweden
1559,Sabastian Metaxas,Patras,Greece
1560,Hwang Kwan,Busan,South Korea
1561,Jacob Hendriks,Utrecht,Netherlands
1562,Jordan Andrews,Miami,United States
1563,Dirk Jansen,Rotterdam,Netherlands
1564,Malika Imad,Giza,Egypt
1565,Eduardo Vega,Monterrey,Mexico
1566,Man Shik Song,Seoul,South Korea
1567,Fatima Haddad,Alexandria,Egypt
1568,Amber Willems,Namur,Belgium
1569,Mi Hi Park,Busan,South Korea
1570,Shannon Hayes,Vancouver,Canada
1571,Ahmed Haidar,Tehran,Iran
1572,Ludmila Bogdanova,Moscow,Russia
1573,Hayim Levin,Acre,Israel
1574,Neal Ramirez,New York City,United States
1575,Jane Burns,Vancouver,Canada
1576,Mordecai Daham,Petah Tikva,Israel
1577,Jan Visser,Rotterdam,Netherlands
1578,Roberta Rossi,Pisa,Italy
1579,Jonas Van Damme,Leuven,Belgium
1580,Parvati Dasgupta,Mumbai,India
1581,Raniya Jawahir,Luxor,Egypt
1582,Ricardo Chávez,Mendoza,Argentina
1583,Erik Johnson,Trondheim,Norway
1584,Emilio Garza,Santa Marta,Colombia
1585,Anette Jacobsen,Bergen,Norway
1586,Chidubem Kuumba,Durban,South Africa
1587,Julie Van Damme,Namur,Belgium
1588,Rin Yamashita,Yokohama,Japan
1589,Yutaka Ito,Osaka,Japan
1590,Olga Vasilyeva,Samara,Russia
1591,Richard Davies,Burmingham,United Kingdom
1592,Eduardo Ruiz,Evora,Portugal
1593,Matteo Roberti,Florence,Italy
1594,Rolf Johnson,Trondheim,Norway
1595,Gertrud Haussman,Berlin,Germany
1596,Bjorn Larsen,Stockholm,Sweden
1597,Silvia García,Cartagena,Colombia
1598,Mustafa Çelik,Bursa,Turkey
1599,María Díaz,Madrid,Spain
1600,Aiko Aoki,Tokyo,Japan
1601,Li Ming Guo,Shanghai,China
1602,Tim Armstrong,Chicago,United States
1603,Jacqueline Leroy,Bordeaux,France
1604,Rafiya Masango,Pretoria,South Africa
1605,Raquel Castro,Lisbon,Portugal
1606,Brit Berg,Stavanger,Norway
1607,Ali Ghalib,Tehran,Iran
1608,Victor Sánchez,Evora,Portugal
1609,Sébastien André,Dijon,France
1610,Sam Song,Busan,South Korea
1611,Javier Vega,Santa Marta,Colombia
1612,Sabri Aydin,Izmir,Turkey
1613,Lina Banerjee,Delhi,India
1614,Amy Harris,Calgary,Canada
1615,Hanna Jensen,Bergen,Norway
1616,Jonas Schmidt,Cologne,Germany
1617,Mahmoud Nabil,Luxor,Egypt
1618,Margarita Sánchez,Braga,Portugal
1619,Leah Green,London,United Kingdom
1620,Pieter Vos,Rotterdam,Netherlands
1621,Khaled Jawahir,Karachi,Pakistan
1622,Olabode Baloyi,Pretoria,South Africa
1623,Paul White,Canberra,Australia
1624,Miguel González,Buenos Aires,Argentina
1625,Brian Gordon,Miami,United States
1626,Xenia Sanchez,Caracas,Venezuela
1627,Jamila Okafor,Durban,South Africa
1628,Santiago Santiago,Cartagena,Colombia
1629,Silvia Hernández,Cartagena,Colombia
1630,Holly Jones,Semarang,Indonesia
1631,Gertrud Lange,Berlin,Germany
1632,Killian McLoughlin,Cork,Ireland
1633,Dominga Moreno,Mendoza,Argentina
1634,Thérèse Girard,Paris,France
1635,Maria Vasilyeva,Moscow,Russia
1636,Gabriel Valdéz,Bogotá,Colombia
1637,Jeremy Stewart,Miami,United States
1638,Ana Pérez,Mendoza,Argentina
1639,Ali Dagdelen,Bursa,Turkey
1640,Carlota Muñoz,Fortaleza,Brazil
1641,Paula Lee,Bandung,Indonesia
1642,Léa Leroy,Brussels,Belgium
1643,Dermott Murray,Glasgow,Scotland
1644,Raúl Delgado,Mendoza,Argentina
1645,Mateusz Kowalski,Warsaw,Poland
1646,Julie Fontaine,Namur,Belgium
1647,Declan Walsh,Cork,Ireland
1648,Malin Jacobsen,Bergen,Norway
1649,Jesús Ruiz,Isla Ratón,Venezuela
1650,Beril Sahin,Izmir,Turkey
1651,Patrick Robinson,Canberra,Australia
1652,Sophie Richter,Munich,Germany
1653,Heidi Hagen,Trondheim,Norway
1654,Amiyah Patel,Jaipur,India
1655,Moshe Mizrachi,Haifa,Israel
1656,Hendrik Meyer,Rotterdam,Netherlands
1657,Petros Baros,Corinth,Greece
1658,Blanka Kozłowska,Lublin,Poland
1659,Ananda Mehra,Mumbai,India
1660,Noah Peeters,Antwerp,Belgium
1661,Neema Dubazana,Polokwane,South Africa
1662,Rosa Martinez,Córdoba,Argentina
1663,Silvia Pérez,Mérida,Mexico
1664,Nasreem Asad,Luxor,Egypt
1665,Arianna Lombardi,Bologna,Italy
1666,Zalika Bapela,Polokwane,South Africa
1667,Ibrahim Farouk,Tabriz,Iran
1668,Rachid Haddad,Tabriz,Iran
1669,Roberto Castro,Barcelona,Spain
1670,Inés Alonso,Rio de Janeiro,Brazil
1671,Piotr Pawlak,Warsaw,Poland
1672,Min Ju Choi,Daegu,South Korea
1673,César Flores,Buenos Aires,Argentina
1674,Eliana Rosenberg,Acre,Israel
1675,Adriana Bakker,Delft,Netherlands
1676,Khadija Wahid,Lahore,Pakistan
1677,Yegor Solovyov,Kyiv,Ukraine
1678,Hui Ying Zhao,Shanghai,China
1679,Xenia Castillo,Rosario,Argentina
1680,Svetlana Semyenova,Kharkiv,Ukraine
1681,Analucía Sanchez,Mendoza,Argentina
1682,Said Kharam,Multan,Pakistan
1683,Mary Murray,Glasgow,Scotland
1684,Katerina Antinos,Patras,Greece
1685,Berko Kuumba,Cape Town,South Africa
1686,Yon Yoon,Busan,South Korea
1687,Ahmed Isra,Cairo,Egypt
1688,Victor Díaz,Porto,Portugal
1689,Carlos Vargas,Guayana City,Venezuela
1690,Tara McLoughlin,Limerick,Ireland
1691,Willem VanDyke,Delft,Netherlands
1692,Mal Chin Yoon,Incheon,South Korea
1693,Alessia Sella,Bologna,Italy
1694,Youssef Kharam,Kermanshah,Iran
1695,Claudia Schulz,Cologne,Germany
1696,Tom Garcia,Vancouver,Canada
1697,María Garza,Puebla,Mexico
1698,Juan Moreno,Manaus,Brazil
1699,Rin Nakajima,Tokyo,Japan
1700,Hans Vos,Utrecht,Netherlands
1701,Sheng Song,Guangzhou,China
1702,Angelo Bianchi,Pisa,Italy
1703,Lars De Jong,Rotterdam,Netherlands
1704,Chris Hart,Vancouver,Canada
1705,Mahmoud Haidar,Tehran,Iran
1706,Elisabeth De Graf,Amsterdam,Netherlands
1707,Caden Ryan,Dublin,Ireland
1708,Mohammed Asad,Kermanshah,Iran
1709,Mikhael Shapira,Acre,Israel
1710,Sigrid Larsen,Helsingborg,Sweden
1711,Nikolai Malakhov,Samara,Russia
1712,Anastasiya Ilyushina,Odesa,Ukraine
1713,Yash Chopra,Chennai,India
1714,Shaiming Sun,Beijing,China
1715,María Flores,Mendoza,Argentina
1716,Rubén Soto,Cali,Colombia
1717,Aya Turk,Kermanshah,Iran
1718,Nasreem Mufaddal,Cairo,Egypt
1719,Amadi Mensah,Durban,South Africa
1720,Johanna Smits,Amsterdam,Netherlands
1721,Amit Yadav,Chennai,India
1722,Pedro Díaz,Valencia,Spain
1723,Johannes Jansen,Rotterdam,Netherlands
1724,Anna Volkova,Samara,Russia
1725,Encarnación Márquez,Puebla,Mexico
1726,Faraji Mabaso,Polokwane,South Africa
1727,Ariel Biton,Haifa,Israel
1728,Fang Yin Huang,Chengdu,China
1729,Suresh Singh,Delhi,India
1730,Katia Garza,Cali,Colombia
1731,Juan Carlos González,Puebla,Mexico
1732,Nazli Yildiz,Istanbul,Turkey
1733,Abdullah Tariq,Tehran,Iran
1734,Tuana Dagdelen,Antalya,Turkey
1735,Alicia Jiménez,Fortaleza,Brazil
1736,Seung Jang,Daegu,South Korea
1737,Thomas Evans,Burmingham,United Kingdom
1738,Andrea Martínez,São Paulo,Brazil
1739,Staniłsaw Szymański,Wrocław,Poland
1740,Duncan McKenzie,Aberdeen,Scotland
1741,Marte Berg,Stavanger,Norway
1742,Malin Johannessen,Stockholm,Sweden
1743,Luca Ferrari,Pisa,Italy
1744,Priya Jaiteley,Chennai,India
1745,Lauren Williams,Jakarta,Indonesia
1746,Brian Webb,Quebec City,Canada
1747,Camille Aerts,Leuven,Belgium
1748,Seema Pillai,Jaipur,India
1749,Analucía Ramírez,Córdoba,Argentina
1750,Park Liang,Shanghai,China
1751,Adolfo Muñoz,Evora,Portugal
1752,Adam Gallagher,Galway,Ireland
1753,Jay Thompson,Bandung,Indonesia
1754,Ana Delgado,Mendoza,Argentina
1755,Tristan Richard,Bordeaux,France
1756,Zhi Ye,Beijing,China
1757,Yukiko Nakano,Osaka,Japan
1758,Khamisi Mabaso,Durban,South Africa
1759,Josette Leroy,Paris,France
1760,Juan Vázquez,Evora,Portugal
1761,Rune Jacobsen,Helsingborg,Sweden
1762,Anders Johansen,Gothenburg,Sweden
1763,Hugo Hernández,Lisbon,Portugal
1764,Encarnación Martinez,Guayana City,Venezuela
1765,William Taylor,Burmingham,United Kingdom
1766,Jin Han,Seoul,South Korea
1767,Hamza Wahid,Cairo,Egypt
1768,Ingrid Halvorsen,Stavanger,Norway
1769,Babajide Owusu,Polokwane,South Africa
1770,Agathe Dubois,Paris,France
1771,Raúl Pérez,Monterrey,Mexico
1772,Anne Richard,Paris,France
1773,Lewis Robinson,London,United Kingdom
1774,Zoe Harris,Sidney,Australia
1775,Rosana Díaz,Barcelona,Spain
1776,Maggie McIntyre,Aberdeen,Scotland
1777,Rodrigo Vargas,Guayana City,Venezuela
1778,Raniya Suleiman,Kermanshah,Iran
1779,Safiya Aziz,Luxor,Egypt
1780,Kiriko Mutsuda,Kyoto,Japan
1781,Janet Green,Los Angeles,United States
1782,Katerina Panagakos,Corinth,Greece
1783,Malin Jensen,Trondheim,Norway
1784,Bonnie Warren,Vancouver,Canada
1785,Eva Meer,Delft,Netherlands
1786,Jakub Wiśniewski,Warsaw,Poland
1787,Benjamin Robinson,Semarang,Indonesia
1788,Mariam Khoury,Alexandria,Egypt
1789,Dion Antinos,Corinth,Greece
1790,Hassan Amin,Multan,Pakistan
1791,Graciela Flores,Guayana City,Venezuela
1792,Isabel Hernández,Porto,Portugal
1793,Teresa Castro,Fortaleza,Brazil
1794,Gertrud Vogel,Munich,Germany
1795,Asher Rabin,Haifa,Israel
1796,Gideon Hadad,Petah Tikva,Israel
1797,Theodora Galanos,Athens,Greece
1798,Jacqueline André,Dijon,France
1799,Maxime Wouters,Namur,Belgium
1800,Jacob VanDyke,Amsterdam,Netherlands
1801,Gabriel Vargas,Mexico City,Mexico
1802,Dara O'Connell,Limerick,Ireland
1803,Lucy Evans,London,United Kingdom
1804,Kieron MacDonald,Dundee,Scotland
1805,Neel Malik,Chennai,India
1806,Jun Gao,Shanghai,China
1807,Rishi Subramanium,Mumbai,India
1808,Bridget Burns,Edenburgh,Scotland
1809,Colin Murray,Dublin,Ireland
1810,Hassan Imad,Alexandria,Egypt
1811,Martin Braun,Berlin,Germany
1812,Sophie Klein,Hamburg,Germany
1813,Santiago González,Monterrey,Mexico
1814,Jia Li Deng,Shanghai,China
1815,Shannon Cole,Miami,United States
1816,Stacy Patterson,Chicago,United States
1817,Sarah Ghalib,Mashhad,Iran
1818,Matthew Wilson,Jakarta,Indonesia
1819,Elisabeth Dekker,Amsterdam,Netherlands
1820,Liora Meir,Acre,Israel
1821,Tracy Lee,Calgary,Canada
1822,Inéz Garza,Cartagena,Colombia
1823,Declan Duff,Limerick,Ireland
1824,Sarah Thompson,Makassar,Indonesia
1825,Lauren Lee,Canberra,Australia
1826,Malin Larsen,Uppsala,Sweden
1827,Amber Gerard,Brussels,Belgium
1828,Elin Johnson,Stockholm,Sweden
1829,Mohammed Haddad,Karachi,Pakistan
1830,Jack O'Doherty,Dublin,Ireland
1831,César Díaz,Rosario,Argentina
1832,Kalee Sengupta,Jaipur,India
1833,Wendy Payne,Quebec City,Canada
1834,Seamus Moore,Limerick,Ireland
1835,Molly Smith,Manchester,United Kingdom
1836,Xhosa Sesay,Durban,South Africa
1837,Enrique López,Guayana City,Venezuela
1838,Lisbet Hendriks,Utrecht,Netherlands
1839,Alicia Gómez,Lisbon,Portugal
1840,Jamie Black,Miami,United States
1841,Lauren Walker,Burmingham,United Kingdom
1842,Frida Vogel,Berlin,Germany
1843,Raúl Jiménez,Rio de Janeiro,Brazil
1844,Adam Kennedy,Galway,Ireland
1845,Piotr Jabłoński,Kraków,Poland
1846,Priyamvada Banerjee,Delhi,India
1847,Jacob Moshe,Petah Tikva,Israel
1848,Eric Knight,New York City,United States
1849,Emilio Castillo,Rosario,Argentina
1850,Nikola Malinowska,Kraków,Poland
1851,Jonas Lemmens,Antwerp,Belgium
1852,Arianna Rizzo,Rome,Italy
1853,Humberto Rodriguez,Monterrey,Mexico
1854,Ivan Ilyushin,Mariupol,Ukraine
1855,Maximilian Weber,Munich,Germany
1856,Hugh Burns,Glasgow,Scotland
1857,Emma Robinson,London,United Kingdom
1858,Christos Manikas,Athens,Greece
1859,Leticia Vargas,Caracas,Venezuela
1860,Rin Miyamoto,Yokohama,Japan
1861,Arthur Van Damme,Namur,Belgium
1862,Inés Blanco,Lisbon,Portugal
1863,Nikhil Singh,Jaipur,India
1864,Jonas Bauer,Cologne,Germany
1865,Raúl Rodriguez,Isla Ratón,Venezuela
1866,Begum Gul,Bursa,Turkey
1867,Hadar Bar-Lev,Jerusalem,Israel
1868,Waseme Ondede,Durban,South Africa
1869,Aidan Clark,Glasgow,Scotland
1870,Hiroshi Sakamoto,Kyoto,Japan
1871,John Thompson,Jakarta,Indonesia
1872,Dhruv Subramanium,Chennai,India
1873,Amit Singh,Delhi,India
1874,Zorba Papadakis,Thessaloniki,Greece
1875,Graciela Sanchez,Mexico City,Mexico
1876,Jack Thompson,Melbourne,Australia
1877,Anton Vos,Delft,Netherlands
1878,Carlos González,Bogotá,Colombia
1879,Víctor García,Mendoza,Argentina
1880,Nasreem Samad,Karachi,Pakistan
1881,Priya Rao,Delhi,India
1882,Boris Vorobyov,Moscow,Russia
1883,Nobu Nishimura,Tokyo,Japan
1884,Olav Halvorsen,Uppsala,Sweden
1885,Marte Jacobsen,Trondheim,Norway
1886,Janus Vandermeer,Rotterdam,Netherlands
1887,Mary McLoughlin,Dublin,Ireland
1888,Amy Wilson,Melbourne,Australia
1889,Masambe Fofana,Durban,South Africa
1890,Maja Zielińska,Warsaw,Poland
1891,Ryung Kim,Incheon,South Korea
1892,Thomas White,Sidney,Australia
1893,Katia López,Cali,Colombia
1894,Min Ji Yoon,Seoul,South Korea
1895,Mary Thompson,Jakarta,Indonesia
1896,Amit Rao,Jaipur,India
1897,Zena Cosmos,Thessaloniki,Greece
1898,Anastasiya Malakhova,Odesa,Ukraine
1899,Jesús Moreno,Maracay,Venezuela
1900,Vicente Rodriguez,Bilbao,Spain
1901,Hiroshi Yamashita,Osaka,Japan
1902,Maxim Vasilyev,Moscow,Russia
1903,Galina Volkova,Chelyabinsk,Russia
1904,Nasreem Canaan,Mashhad,Iran
1905,Luca Sella,Rome,Italy
1906,Ewan Hunter,Dundee,Scotland
1907,Brit Hansen,Stockholm,Sweden
1908,Étienne Fournier,Paris,France
1909,Jana Müller,Berlin,Germany
1910,Guang Yuan,Beijing,China
1911,Mathis Mertens,Namur,Belgium
1912,Pelin Kaplan,Antalya,Turkey
1913,Magnus Larsen,Stavanger,Norway
1914,Mahmoud Imad,Multan,Pakistan
1915,Amy Robinson,Melbourne,Australia
1916,Feng Pan,Shanghai,China
1917,Inès Beckers,Namur,Belgium
1918,Ariadne Metaxas,Patras,Greece
1919,Encarnación González,Santa Marta,Colombia
1920,Fernando Ramos,Evora,Portugal
1921,Eva Torres,São Paulo,Brazil
1922,Ana Álvarez,Braga,Portugal
1923,Holly Walker,London,United Kingdom
1924,Willem Jansen,Amsterdam,Netherlands
1925,Jens Lemmens,Brussels,Belgium
1926,Tareq Rahman,Karachi,Pakistan
1927,Duane Thompson,Chicago,United States
1928,Luc Girard,Nice,France
1929,Wei Zhou,Chengdu,China
1930,Juan Carlos Ramírez,Rosario,Argentina
1931,Hanna Olsen,Osio,Norway
1932,Katia Moreno,Cali,Colombia
1933,Mahmoud Mansoor,Giza,Egypt
1934,Margarita González,Porto,Portugal
1935,Jakub Wiśniewski,Warsaw,Poland
1936,Inéz Delgado,Córdoba,Argentina
1937,Aya Nasim,Kermanshah,Iran
1938,Hadiya Godongwana,Durban,South Africa
1939,Helen Martin,Burmingham,United Kingdom
1940,Ismail Özdemir,Bursa,Turkey
1941,Cyrano Lekas,Corinth,Greece
1942,Patricia Moreno,Cartagena,Colombia
1943,Eva Muñoz,Barcelona,Spain
1944,Nobu Yamada,Yokohama,Japan
1945,Anna Dobrynina,Chelyabinsk,Russia
1946,Khadija Asad,Kermanshah,Iran
1947,Amelia Kaczmarek,Warsaw,Poland
1948,Margarita Ruiz,Bilbao,Spain
1949,Santiago Ruiz,Córdoba,Argentina
1950,Omer Ahmad,Bursa,Turkey
1951,Gretta Jensen,Stavanger,Norway
1952,Tareq Kharam,Kermanshah,Iran
1953,Alexandra Zinchenko,Samara,Russia
1954,Frida Kohler,Berlin,Germany
1955,Analucía Sanchez,Mérida,Mexico
1956,Dominga Valdéz,Rosario,Argentina
1957,Caleb Hunt,Los Angeles,United States
1958,Julia Torres,Evora,Portugal
1959,Louise Mertens,Namur,Belgium
1960,Konstantina Cosmos,Patras,Greece
1961,Yuri Lekas,Athens,Greece
